Study ID,Study Class,Treatment Focus (Study level),Total N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Adjusted Variables in Statistical Analysis,Intervention Groups,NCPTSD Treatment Names,Assessment Point Category,Follow Up Assessment in Weeks,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Score Difference 1 Detail,Score Difference 1 Value,Score Difference 1 Standard Deviation,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Score Difference 2 Detail,Score Difference 2 Value,Score Difference 2 Standard Deviation,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Diagnostic Change 1 Effect Size Detail,Diagnostic Change 1 Effect Size Type,Diagnostic Change 1 Effect Size Value,Diagnostic Change 1 Effect Size Type of Variance Measure,Diagnostic Change 1 Effect Size Variance Value or Lower Bound,Diagnostic Change 1 Effect Size Variance Upper Bound,Diagnostic Change 1 Effect Size p value,Clinically Meaningful Response 1 Effect Size Detail,Clinically Meaningful Response 1 Effect Size Type,Clinically Meaningful Response 1 Effect Size Value,Clinically Meaningful Response 1 Effect Size Type of Variance Measure,Clinically Meaningful Response 1 Effect Size Variance Value or Lower Bound,Clinically Meaningful Response 1 Effect Size Variance Upper Bound,Clinically Meaningful Response 1 Effect Size p value,Additional Data Reported,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
vandenberg2015_CAPS_BvsC_0_ITT,Psychotherapy,PTSD,155,Structured Clinical Interview,CAPS,CAPS,Baseline scores for linear mixed models,B vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,ITT,Difference at endpoint,Cohen's d,0.65,,,,p=0.001,,,,,,,,,,,,,,,,,,,OR,3.92,,,,p<0.001,,OR,2.87,,,,p=0.10,Additional data reported in the study for other definitions of diagnostic change and clinically meaningful response,Community,,,1,0.5419,,0.4581,Mixed,"rape/sexual assault, child sexual abuse, child other abuse, accidents, natural or manmade disasters, other (traumatic psychosis, war, physical abuse)",Low,"van den Berg DP, de Bont PA, van der Vleugel BM, et al. Prolonged exposure vs Eye Movement Desensitization and Reprocessing vs waiting list for posttraumatic stress disorder in patients with a psychotic disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Mar;72(3):259-67. doi: 10.1001/jamapsychiatry.2014.2637. PMID: 25607833.",43279,2019
vandenberg2015_CAPS_BvsC_26_ITT,Psychotherapy,PTSD,155,Structured Clinical Interview,CAPS,CAPS,Baseline scores for linear mixed models,B vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,Assessment at 6 to <12 Months,26,ITT,Difference at endpoint,Cohen's d,0.53,,,,p=0.009,,,,,,,,,,,,,,,,,,,OR,2.76,,,,p=0.002,,OR,2.49,,,,p=0.15,Additional data reported in the study for other definitions of diagnostic change and clinically meaningful response,Community,,,1,0.5419,,0.4581,Mixed,"rape/sexual assault, child sexual abuse, child other abuse, accidents, natural or manmade disasters, other (traumatic psychosis, war, physical abuse)",Low,"van den Berg DP, de Bont PA, van der Vleugel BM, et al. Prolonged exposure vs Eye Movement Desensitization and Reprocessing vs waiting list for posttraumatic stress disorder in patients with a psychotic disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Mar;72(3):259-67. doi: 10.1001/jamapsychiatry.2014.2637. PMID: 25607833.",43279,2019
vandenberg2015_PSS-SR_AvsC_0_ITT,Psychotherapy,PTSD,155,Self report,PSS-SR,PSS-SR,,A vs C,Prolonged Exposure (PE) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,0.88,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5419,,0.4581,Mixed,"rape/sexual assault, child sexual abuse, child other abuse, accidents, natural or manmade disasters, other (traumatic psychosis, war, physical abuse)",Low,"van den Berg DP, de Bont PA, van der Vleugel BM, et al. Prolonged exposure vs Eye Movement Desensitization and Reprocessing vs waiting list for posttraumatic stress disorder in patients with a psychotic disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Mar;72(3):259-67. doi: 10.1001/jamapsychiatry.2014.2637. PMID: 25607833.",43279,2019
vandenberg2015_PSS-SR_AvsC_26_ITT,Psychotherapy,PTSD,155,Self report,PSS-SR,PSS-SR,,A vs C,Prolonged Exposure (PE) vs Waitlist,Assessment at 6 to <12 Months,26,ITT,,Cohen's d,0.7,,,,p=0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5419,,0.4581,Mixed,"rape/sexual assault, child sexual abuse, child other abuse, accidents, natural or manmade disasters, other (traumatic psychosis, war, physical abuse)",Low,"van den Berg DP, de Bont PA, van der Vleugel BM, et al. Prolonged exposure vs Eye Movement Desensitization and Reprocessing vs waiting list for posttraumatic stress disorder in patients with a psychotic disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Mar;72(3):259-67. doi: 10.1001/jamapsychiatry.2014.2637. PMID: 25607833.",43279,2019
vandenberg2015_PSS-SR_BvsC_0_ITT,Psychotherapy,PTSD,155,Self report,PSS-SR,PSS-SR,,B vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,0.85,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5419,,0.4581,Mixed,"rape/sexual assault, child sexual abuse, child other abuse, accidents, natural or manmade disasters, other (traumatic psychosis, war, physical abuse)",Low,"van den Berg DP, de Bont PA, van der Vleugel BM, et al. Prolonged exposure vs Eye Movement Desensitization and Reprocessing vs waiting list for posttraumatic stress disorder in patients with a psychotic disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Mar;72(3):259-67. doi: 10.1001/jamapsychiatry.2014.2637. PMID: 25607833.",43279,2019
vandenberg2015_PSS-SR_BvsC_26_ITT,Psychotherapy,PTSD,155,Self report,PSS-SR,PSS-SR,,B vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Waitlist,Assessment at 6 to <12 Months,26,ITT,,Cohen's d,0.7,,,,p=0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5419,,0.4581,Mixed,"rape/sexual assault, child sexual abuse, child other abuse, accidents, natural or manmade disasters, other (traumatic psychosis, war, physical abuse)",Low,"van den Berg DP, de Bont PA, van der Vleugel BM, et al. Prolonged exposure vs Eye Movement Desensitization and Reprocessing vs waiting list for posttraumatic stress disorder in patients with a psychotic disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Mar;72(3):259-67. doi: 10.1001/jamapsychiatry.2014.2637. PMID: 25607833.",43279,2019
vandenderen2018_IES_A+BvsC_0_ITT,Psychotherapy,PTSD,85,Self report,IES,IES (Dutch version),Kinship and recruitment strategy,A + B vs C,Eye Movement Desensitization and Reprocessing (EMDR) + cognitive behavioral therapy (CBT) without a trauma focus + Cognitive behavioral therapy (CBT) + Eye Desensitization and Reprocessing (EMDR) vs Waitlist,End of Treatment,0,ITT,Group x Time interaction,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.7412,,0.2588,Other (homicidally bereaved),,High,"van Denderen M, de Keijser J, Stewart R, et al. Treating complicated grief and posttraumatic stress in homicidally bereaved individuals: a randomized controlled trial. Clin Psychol Psychother. 2018 Feb 26(25):497-508. doi: 10.1002/cpp.2183. PMID: 29479767.",49818,2019
vanderkolk1994_IES_AvsB_0_Comp,Pharmacotherapy,PTSD,64,Self report,IES,IES (Dutch version),Baseline values,A vs B,Fluoxetine vs Placebo,End of Treatment,0,Completer,,,,,,,p=0.0106,,,,,,,,,-12.59,,,,,,,,,,,,,,,,,,,,,,,,Mixed,0,0.4844,0.5156,0.3438,,0.6562,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, terrorism/political violence/forced displacement",Medium,"Van der Kolk BA, Dreyfuss D, Michaels MJ, et al. Fluoxetine in posttraumatic stress disorder. J Clin Psychiatry. 1994;55(12):517-22. PMID: 7814344.",05244,2019
vanderkolk2007_CAPS_AvsB_0_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Fluoxetine,End of Treatment,0,Completer,,Cohen's d,0.35,,,,p=0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_AvsB_0_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Fluoxetine,End of Treatment,0,ITT,,Cohen's d,0.24,,,,p=0.13,,,,,,,,,,,,,,,,,,,,,,,,p=0.82,,,,,,,p=0.52,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_AvsB_26_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Fluoxetine,Assessment at 6 to <12 Months,26,Completer,,Cohen's d,0.17,,,,p=0.05,,,,,,,,,,,,,,,,,,,,,,,,p=0.14,,,,,,,p<0.001,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_AvsB_26_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,A vs B,Eye Movement Desensitization and Reprocessing (EMDR) vs Fluoxetine,Assessment at 6 to <12 Months,26,ITT,,Cohen's d,0.54,,,,p=0.005,,,,,,,,,,,,,,,,,,,,,,,,p=0.20,,,,,,,p<0.001,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_AvsC_0_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,A vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Placebo,End of Treatment,0,Completer,,,0.58,,,,p=0.03,,,,,,,,,,,,,,,,,,,,,,,,p=0.07,,,,,,,p=0.12,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_AvsC_0_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,A vs C,Eye Movement Desensitization and Reprocessing (EMDR) vs Placebo,End of Treatment,0,ITT,,,0.45,,,,p=0.07,,,,,,,,,,,,,,,,,,,,,,,,p=0.16,,,,,,,p=0.09,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_BvsC_0_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,B vs C,Fluoxetine vs Placebo,End of Treatment,0,Completer,,Cohen's d,0.18,,,,p=0.67,,,,,,,,,,,,,,,,,,,,,,,,p=0.21,,,,,,,p=0.69,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_BvsC_0_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,B vs C,Fluoxetine vs Placebo,End of Treatment,0,ITT,,Cohen's d,0.19,,,,p=0.61,,,,,,,,,,,,,,,,,,,,,,,,p=0.23,,,,,,,p=0.72,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_Omnibus_0_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,Omnibus,Eye Movement Desensitization and Reprocessing (EMDR) vs Fluoxetine vs Placebo,End of Treatment,0,Completer,Endpoint difference,,,,,,p=0.09,,,,,,,,,,,,,,,,,,,,,,,,p=0.15,,,,,,,p=0.24,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2007_CAPS_Omnibus_0_ITT,Mixed: Psychotherapy & pharmacotherapy,PTSD,88,Structured Clinical Interview,CAPS,CAPS,Baseline score,Omnibus,Eye Movement Desensitization and Reprocessing (EMDR) vs Fluoxetine vs Placebo,End of Treatment,0,ITT,Endpoint difference,,,,,,p=0.16,,,,,,,,,,,,,,,,,,,,,,,,p=0.31,,,,,,,p=0.17,,Community,,,1,0.8295,,0.1705,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence, accidents, community/school violence, terrorism/political violence/forced displacement, other (""other adult victimization,"" ""traumatic loss,"" injury)",Medium,"Van der Kolk BA, Spinazzola J, Blaustein ME, et al. A randomized clinical trial of Eye Movement Desensitization and Reprocessing (EMDR), fluoxetine, and pill placebo in the treatment of posttraumatic stress disorder: treatment effects and long-term maintenance. J Clin Psychiatry. 2007 Jan;68(1):37-46. doi: 10.4088/JCP.v68n0105. PMID: 17284128.",29236,2019
vanderkolk2014_CAPS_AvsB_0_Comp,Mixed: Psychotherapy & CIH,PTSD,76,Structured Clinical Interview,CAPS,CAPS severity,,A vs B,Yoga vs Women's health education plus Supportive Therapy,End of Treatment,0,Completer,,Cohen's d,-0.41,,,,p<0.05,,,,,,,,,,,,,,,,,,,,,,,,p=0.013,,,,,,,,,Community,,,1,1,,0,,,Medium,"van der Kolk BA, Stone L, West J, et al. Yoga as an adjunctive treatment for posttraumatic stress disorder: a randomized controlled trial. J Clin Psychiatry. 2014 Jun;75(6):e559-65. doi: 10.4088/JCP.13m08561. PMID: 25004196.",42647,2019
vanderkolk2014_DTS_AvsB_0_Comp,Mixed: Psychotherapy & CIH,PTSD,76,Self report,DTS,DTS,,A vs B,Yoga vs Women's health education plus Supportive Therapy,End of Treatment,0,Completer,Linear change: Group x Time effect,Cohen's d,-0.1,,,,p>0.05,Quadratic change; Group x Time effect,Cohen's d,-0.34,,,,p<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,1,,0,,,Medium,"van der Kolk BA, Stone L, West J, et al. Yoga as an adjunctive treatment for posttraumatic stress disorder: a randomized controlled trial. J Clin Psychiatry. 2014 Jun;75(6):e559-65. doi: 10.4088/JCP.13m08561. PMID: 25004196.",42647,2019
vanderkolk2016_CAPS_AvsB_0_Comp,Complementary and integrative health (CIH),PTSD,52,Structured Clinical Interview,CAPS,CAPS,None,A vs B,Neurofeedback vs Treatment as usual (TAU),End of Treatment,0,Completer,,,,,,,,,,,,,,,Endpoint difference,-21.56,,-34.57,-8.55,,,,,,,,,,,,p=0.007,,,,,,,,,Community,,,1,0.8571,,0.1429,Mixed,"child other abuse, rape/sexual assault, intimate partner violence, other (not specified)",Medium,"Van der Kolk BA, Hodgdon HB, Gapen MA, et al. A randomized controlled study of neurofeedback for chronic PTSD. PLoS One. 2016 Dec 16;11(12):e0166752. doi: 10.1371/journal.pone.0166752. PMID: 27992435.",46581,2019
vanderkolk2016_CAPS_AvsB_0_ITT,Complementary and integrative health (CIH),PTSD,52,Structured Clinical Interview,CAPS,CAPS,None,A vs B,Neurofeedback vs Treatment as usual (TAU),End of Treatment,0,ITT,,,,,,,,,,,,,,,Endpoint difference,-23.54,,-36.24,-10.85,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.8571,,0.1429,Mixed,"child other abuse, rape/sexual assault, intimate partner violence, other (not specified)",Medium,"Van der Kolk BA, Hodgdon HB, Gapen MA, et al. A randomized controlled study of neurofeedback for chronic PTSD. PLoS One. 2016 Dec 16;11(12):e0166752. doi: 10.1371/journal.pone.0166752. PMID: 27992435.",46581,2019
wang2012_CAPS_AvsB_26_Comp,Other mixed,PTSD,138,Structured Clinical Interview,CAPS,CAPS,,A vs B,Acupuncture vs Paroxetine,Assessment at 6 to <12 Months,26,Completer,Reduction rate effect size,,,,,,p=0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5814,,0.4186,Natural or manmade disasters,,Medium,"Wang Y, Hu YP, Wang WC, et al. Clinical studies on treatment of earthquake-caused posttraumatic stress disorder using electroacupuncture. Evid Based Complement Alternat Med. 2012;2012:431279. doi: 10.1155/2012/431279. PMID: 23049609.",40245,2019
vanderkolk2016_CAPS_AvsB_4_Comp,Complementary and integrative health (CIH),PTSD,52,Structured Clinical Interview,CAPS,CAPS,None,A vs B,Neurofeedback vs Treatment as usual (TAU),Assessment at <3 Months,4,Completer,,d,-1.77,,,,,,,,,,,,Difference in change from baseline,-30.28,,-42.05,-18.51,,,,,,,,,,,,p=0.002,,,,,,,,,Community,,,1,0.8571,,0.1429,Mixed,"child other abuse, rape/sexual assault, intimate partner violence, other (not specified)",Medium,"Van der Kolk BA, Hodgdon HB, Gapen MA, et al. A randomized controlled study of neurofeedback for chronic PTSD. PLoS One. 2016 Dec 16;11(12):e0166752. doi: 10.1371/journal.pone.0166752. PMID: 27992435.",46581,2019
vanderkolk2016_CAPS_AvsB_4_ITT,Complementary and integrative health (CIH),PTSD,52,Structured Clinical Interview,CAPS,CAPS,None,A vs B,Neurofeedback vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,,d,-1.71,,,,,Group x Time interaction,,,,,,p<0.001,Difference in change from baseline,-29.6,,-41.33,-17.87,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.8571,,0.1429,Mixed,"child other abuse, rape/sexual assault, intimate partner violence, other (not specified)",Medium,"Van der Kolk BA, Hodgdon HB, Gapen MA, et al. A randomized controlled study of neurofeedback for chronic PTSD. PLoS One. 2016 Dec 16;11(12):e0166752. doi: 10.1371/journal.pone.0166752. PMID: 27992435.",46581,2019
vanderkolk2016_DTS_AvsB_0_ITT,Complementary and integrative health (CIH),PTSD,52,Self report,DTS,DTS,,A vs B,Neurofeedback vs Treatment as usual (TAU),End of Treatment,0,ITT,,Cohen's d,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.8571,,0.1429,Mixed,"child other abuse, rape/sexual assault, intimate partner violence, other (not specified)",Medium,"Van der Kolk BA, Hodgdon HB, Gapen MA, et al. A randomized controlled study of neurofeedback for chronic PTSD. PLoS One. 2016 Dec 16;11(12):e0166752. doi: 10.1371/journal.pone.0166752. PMID: 27992435.",46581,2019
vanderkolk2016_DTS_AvsB_4_ITT,Complementary and integrative health (CIH),PTSD,52,Self report,DTS,DTS,,A vs B,Neurofeedback vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,,Cohen's d,-0.89,,,,,Group x Time interaction,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.8571,,0.1429,Mixed,"child other abuse, rape/sexual assault, intimate partner violence, other (not specified)",Medium,"Van der Kolk BA, Hodgdon HB, Gapen MA, et al. A randomized controlled study of neurofeedback for chronic PTSD. PLoS One. 2016 Dec 16;11(12):e0166752. doi: 10.1371/journal.pone.0166752. PMID: 27992435.",46581,2019
vangelderen2020_CAPS_AvsB_10_ITT,Other mixed,PTSD,43,Structured Clinical Interview,CAPS,CAPS-5,ANCOVA: baseline score,A vs B,Multi-modular motion-assisted memory desensitization and reconsolidation (3MDR) vs Treatment as usual (TAU),Assessment at <3 Months,10,ITT,Change over time: Group x Time interaction,,,,,,p=0.121,Endpoint difference,Cohen's d,0.83,,,,p=0.016,,-6.6,,-11.87,-1.33,,,,,,,,,,,,,,NNT,2.86,,,,p=NR,,Veteran,0,1,0,0.023,,0.977,Mixed,"combat-related, accidents, illness/medical procedure, community/school violence, terrorism/political violence/forced displacement, other (""severe human suffering"", ""death caused to someone else"", ""explosion or fire"")",Low,"van Gelderen MJ, Nijdam MJ, Haagen JFG, et al. Interactive Motion-Assisted Exposure Therapy for Veterans with Treatment-Resistant Posttraumatic Stress Disorder: A Randomized Controlled Trial. Psychotherapy & Psychosomatics. 2020 Mar 23:1-13. doi: https://dx.doi.org/10.1159/000505977. PMID: 32203971.",,2020
vangelderen2020_PCL_AvsB_0_ITT,Other mixed,PTSD,43,Self report,PCL,PCL-5,,A vs B,Multi-modular motion-assisted memory desensitization and reconsolidation (3MDR) vs Treatment as usual (TAU),End of Treatment,0,ITT,Endpoint difference,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.023,,0.977,Mixed,"combat-related, accidents, illness/medical procedure, community/school violence, terrorism/political violence/forced displacement, other (""severe human suffering"", ""death caused to someone else"", ""explosion or fire"")",Low,"van Gelderen MJ, Nijdam MJ, Haagen JFG, et al. Interactive Motion-Assisted Exposure Therapy for Veterans with Treatment-Resistant Posttraumatic Stress Disorder: A Randomized Controlled Trial. Psychotherapy & Psychosomatics. 2020 Mar 23:1-13. doi: https://dx.doi.org/10.1159/000505977. PMID: 32203971.",,2020
vangelderen2020_PCL_AvsB_10_ITT,Other mixed,PTSD,43,Self report,PCL,PCL-5,,A vs B,Multi-modular motion-assisted memory desensitization and reconsolidation (3MDR) vs Treatment as usual (TAU),Assessment at <3 Months,10,ITT,Change over time: Group x Time interaction,,,,,,p=0.040,Endpoint difference,,,,,,p=0.121,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.023,,0.977,Mixed,"combat-related, accidents, illness/medical procedure, community/school violence, terrorism/political violence/forced displacement, other (""severe human suffering"", ""death caused to someone else"", ""explosion or fire"")",Low,"van Gelderen MJ, Nijdam MJ, Haagen JFG, et al. Interactive Motion-Assisted Exposure Therapy for Veterans with Treatment-Resistant Posttraumatic Stress Disorder: A Randomized Controlled Trial. Psychotherapy & Psychosomatics. 2020 Mar 23:1-13. doi: https://dx.doi.org/10.1159/000505977. PMID: 32203971.",,2020
vangelderen2020_PCL_AvsB_6_ITT,Other mixed,PTSD,43,Self report,PCL,PCL-5,,A vs B,Multi-modular motion-assisted memory desensitization and reconsolidation (3MDR) vs Treatment as usual (TAU),Assessment at <3 Months,6,ITT,Endpoint difference,,,,,,p=NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.023,,0.977,Mixed,"combat-related, accidents, illness/medical procedure, community/school violence, terrorism/political violence/forced displacement, other (""severe human suffering"", ""death caused to someone else"", ""explosion or fire"")",Low,"van Gelderen MJ, Nijdam MJ, Haagen JFG, et al. Interactive Motion-Assisted Exposure Therapy for Veterans with Treatment-Resistant Posttraumatic Stress Disorder: A Randomized Controlled Trial. Psychotherapy & Psychosomatics. 2020 Mar 23:1-13. doi: https://dx.doi.org/10.1159/000505977. PMID: 32203971.",,2020
